name,lat,lon
Bondié Tiarène,14.42,-15.57
Bondji,15,-12.63
Bonmadigui,13.02,-11.57
Bonou,12.59,-15.59
Bop Tior,16.06,-16.5
Bope,14.66,-17.18
Borde,14.82,-12.5
Boro Deunde,15.18,-16.9
Boro Tirel,14.13,-13.08
Borodene,14.6,-16.47
Borofaye,12.51,-16.28
Borofaye,12.49,-16.29
Boroya,12.66,-15.52
Bos,14,-16.02
Bosseabe,15.31,-12.99
Bossedji Bara,14.32,-15.73
Bossédji Bobou Faye,14.32,-15.72
Boto,12.49,-11.47
Botou,13.82,-13.58
Boubak,15.24,-15
Boubane,14.83,-16.57
Boubane,14.43,-15.6
Boubel,14.23,-13.92
Boubene,14.57,-15.8
Boubia,14.39,-12.29
Bouborel,12.77,-14.52
Bouboudem,13.82,-15.78
Bouboukounda,13.05,-14.42
Boubouya,14.38,-12.22
Boudaye,14.4,-16.42
Boudaye,13.93,-16.18
Boudhie Samine,12.65,-15.69
Boudi,15.79,-15.94
Boudi Senetie,15.79,-15.92
Boudiangat,12.95,-16.02
Boudieguel,14.25,-15.02
Boudiemar,12.62,-15.64
Boudok,13.1,-16.71
Boudone,12.68,-16.25
Boudou Mbaba,14.62,-14.62
Boudouk,13.28,-15.72
Boudoura,14.87,-14.42
Boufanto,13.13,-14.18
Boufara Gor,13.23,-15.65
Boufou,12.65,-16.68
Boufoudj,14.57,-16.62
Bougari,12.99,-15.83
Bougnadou,12.81,-15.48
Bougnanta Kéréwane,12.53,-11.85
Bougnous,12.89,-15.8
Bougolo,12.98,-16.07
Bougolor,12.82,-16.37
Bougoutoum,12.9,-16.09
Bouhinor,12.86,-16.06
Bouhouyoum,12.45,-16.25
Bouigheul Bamba,14.1,-12.94
Boukaour,12.54,-15.73
Boukarkounda,12.65,-15.49
Boukhou,14.68,-17.12
Bouki Dioulki,14.98,-14.38
Boukiak,12.65,-16.39
Boukirlou,15.05,-16.08
Boukitimgo,12.45,-16.59
Boukot Ouolof,12.42,-16.75
Boukote Diola,12.42,-16.74
Boukoul,15.51,-15.97
Boukounto,12.8,-14.78
Boul Peul,14.2,-15.5
Boula,14.39,-12.96
Boulal,15.4,-15.66
Boulal,15.25,-14.11
Boulalo,12.59,-16.76
Boulana,12.62,-16.75
Boulayot,13.07,-16.15
Boulbi,14.69,-12.78
Bouldiabé,14.02,-16.2
Boulel,14.98,-16.17
Boulel,14.6,-12.71
Boulel,14.3,-15.53
Boulel,14.13,-15.35
Boulel Babori,14.7,-16.02
Boulembou,13.3,-13.95
Bouleye Dia,13.62,-15.9
Bouli,15.54,-15.83
Bouli,14.08,-15.83
Bouli Birane,14.43,-15.8
Bouli Bogueul,14.73,-14.5
Bouli Bokel,14.75,-14.38
Bouli Heri,14.63,-15.63
Bouli Manga,14.07,-14.25
Bouli Soutoura,14.07,-16.1
Bouli-Boguel,15.02,-15.57
Boulibani,14.86,-12.61
Boulidow,15.3,-13.39
Boulierobe,15.39,-15.7
Boulierobe,15.42,-15.7
Boulinaye,16.39,-14.31
Boulingue,12.68,-16.15
Boulingue Toria,12.7,-16.15
Boulo Seano,14.97,-14.25
Boulogne Devandou,14.38,-15.7
Boulon Kadié,15.05,-12.82
Boulone,14.82,-13.02
Boulonp,12.54,-16.21
Boulou Boki,13.65,-15.78
Boulou Sambou,13.38,-14.97
Boulouaye,13.08,-16.33
Bouloucounda,13.4,-13.38
Bouma,13.9,-16.07
Boumane,12.48,-15.96
Boumbali,14.75,-15.75
Boumboa,13.35,-12.42
Boumbouni,13.6,-15.55
Boume,14.68,-16.28
Boumi,15.2,-16.58
Bounar,15.33,-16.12
Boundialoum,12.46,-16.17
Boundodji Parba,15.47,-15.2
Boundou,14.24,-12.23
Boundou,15.03,-15.93
Boundou Boki,14.87,-15.53
Boundou Dioé,14.2,-12.05
Boundou Poutchou,15.15,-15.41
Boundoukondi,12.52,-12.34
Boune,12.8,-16.77
Bounga,14.7,-17.15
Boungoye,14.78,-16.4
Bounguel,13.23,-14.02
Bouniak,12.39,-16.37
Bounièye,13.13,-16.27
Bounkambara,12.48,-15.58
Bounkili,13.65,-13.55
Bounkili,12.95,-13.77
Bounkili Diola,12.67,-15.58
Bounkiling,13.05,-15.7
Bounsankhoba,12.86,-12.02
Bountou,13.26,-11.54
Bountou Mbar,14.57,-15.73
Bountou Ndour,15.97,-16.47
Bountou Pole,15.03,-17.03
Bountou Polé,15.04,-17.01
Bountoum,14.15,-15.52
Bountounko,13.78,-14.08
Bourassik,12.62,-16.74
Bourdiop,14.07,-15.47
Boure,14.73,-15.52
Bourea,12.47,-11.86
Bourec,12.72,-16.16
Bourek Niangola,12.73,-16.15
Bouria,12.85,-13.95
Bourkadié,12.47,-16.25
Bourlé,14.73,-15.5
Bouroubourou,13.35,-11.97
Bouroucounda,13.17,-13.97
Bourouhou,12.54,-16.07
Bourouko,12.99,-16.13
Bouroun,12.87,-15.98
Bourounkoune,13.05,-15.23
Bourvaye,14.7,-16.72
Bousanki,13.08,-15.58
Bousnak,14.65,-16.78
Boussankili,13.23,-15.55
Boussankili Ba,13.28,-15.48
Boussimbala,13.02,-15.2
Boussobé,15.36,-15.57
Boussoura,15.61,-16.3
Boussoura,15.03,-16.5
Boussoura,14.77,-15.8
Boussoura,14.17,-14.98
Boussoura,14,-14.58
Boussoura,13,-14.87
Boussoura,12.83,-14.98
Boustane,14.72,-15.83
Boutboul,14.9,-15.93
Boutdate Karanba,12.7,-16.16
Boutem,12.64,-16.41
Bouteyni,15.96,-15.54
Boutie,14.22,-16.3
Bouto,12.87,-16.05
Boutogoul,12.45,-15.73
Boutolat,12.83,-16.22
Boutomale,12.66,-16.25
Boutougou Fara,13.4,-12.49
Boutoupa,12.49,-16.09
Boutoute,12.56,-16.23
Boutégol,12.71,-16.45
Bouyague,14.33,-13.4
Bouye Dia,15.39,-15.68
Bouyem,13.03,-16.12
Bouyiti,16.08,-16.12
Bouyouye,12.44,-16.75
Bové,13.82,-16.17
Bowde Doudal,16.01,-15.68
Brama,15.82,-16.07
Brama Bakassar,15.8,-16.13
Bransan,13.26,-12.11
Brar,16.03,-15.96
Brar,16,-15.97
Brin,12.53,-16.36
Brinndiago,13.03,-16.28
Brosso,12.95,-15.8
Builders,14.75,-17.44
Bèntessèr,14.94,-17.01
Bédé,15.98,-15.36
Bédétiolé,12.45,-15.75
Bégaye Samb,15.92,-16.22
Béguéré,15.05,-16.03
Békhanta,14.75,-17.51
Bélal Soumaïla,13.23,-14.67
Bélel Boulbi,15.94,-15.35
Bélel Davo,16.3,-14.97
Bélel Diaouli,15.36,-14.09
Bélel Doba,15.85,-15.47
Bélel Doba,15.87,-15.48
Bélel Doulo,15.89,-15.37
Bélel Namari,15.78,-15.82
Bélel Otondé,15.96,-15.34
Bélel Sirod,15.99,-15.27
Bélenn Boulbi,15.73,-15.43
Béli Koyali,15.74,-15.33
Béli-Pouri,13.65,-12.6
Béli-Tiovi,16.56,-14.34
Bélèl Diabi,14.7,-15.87
Béné Mamour,14.03,-15.58
Béouane,14.68,-16.65
Béri Diagne,15,-16.43
Bériou,12.95,-15.92
Bérola,13.24,-11.91
Bérola Madina,13.2,-11.93
Béssiré,12.86,-16.44
Bétiou,16.37,-14.22
Bézel,13.12,-14.1
Béél,15.75,-13.75
Bééla,15.83,-13.72
Bôkhogne,14.69,-17.1
Cabadio,13.03,-16.72
Cabros,12.37,-16.73
Cachiouane,12.5,-16.71
Cafountine,12.93,-16.74
Caibou,15.53,-16.22
Cajinolle,12.56,-16.57
Camaracounda,12.5,-16.08
Cambel,14.75,-15.58
Camberene,14.77,-17.43
Cambissar,13.32,-13.95
Cambounar,15.24,-15.71
Cambounda,12.91,-15.79
Camon,13.34,-12.92
Camp Peuls,15,-17.05
Campt de l'Eland,12.75,-12.64
Cangi,15.3,-16.03
Cantaïène,15.65,-16.1
Caparan,12.86,-16.32
Capdou,15.32,-16.07
Carabane,12.56,-16.7
Carrefour,14.87,-12.49
Cascas,16.38,-14.06
Castors,14.73,-17.45
Cayar,14.92,-17.12
Caylo,12.82,-16.75
Central Dakar,14.67,-17.44
Cerf-Volant,14.7,-17.45
Cherif Lo,14.92,-16.85
Chirif,14.47,-16.83
Chérif,15.62,-16.4
Chérif,15.28,-16.58
Cité Compagnie des Eaux,14.73,-17.44
Codiologny,13.61,-12.62
Coeli,15.74,-15.51
Cogga,16.49,-14.38
Coki,15.5,-15.99
Coki Gouhy,14.93,-16.2
Colibentan,13.67,-14.25
Colobane,14.65,-15.72
Colomba,14.08,-13.95
Colondine,13.72,-13.92
Columba,13.75,-15.63
Comati,13.66,-12.92
Condokho,12.92,-11.72
Corane,15.5,-16.33
Corniche,16.03,-16.49
Cotia,13.63,-12.78
Cotiari-Naoudé,13.9,-13.45
Coude,14.75,-16.15
Coudom,13.82,-16.08
Coular,13.68,-16.18
Coulari,13.52,-13.77
Coulaye,12.98,-16.05
Coumbacoutou,13.55,-13.72
Coumbeul,14.02,-16.03
Coumbidia,13.92,-14.87
Counthiao,13.53,-14.42
Countouata,13.7,-14.58
Coupe-Coupe,14.6,-15.75
Coupeyt,13.92,-15.85
Courbambey,13.45,-13.8
Coute Nabe,14.26,-12.54
Couthia,14.07,-13.13
Cowar,13.82,-13.28
Cussemane,15.52,-15.95
Cérouka,15.08,-12.68
D'angd'ang,14.6,-17.08
D'ias,14.64,-17.09
Daba Mamadou,13.15,-14.32
Dabal,15.54,-15.89
Dabala,13.37,-12.88
Dabali,13.75,-15.68
Dabane,14.05,-16.12
Dabane Ouolof,14.03,-16.1
Dabani,15.33,-15.77
Dabaye,15.72,-16.28
Dabaye,15.65,-16.5
Dabel,15.17,-15.97
Dabel Bara,14.65,-16.18
Dabenel,15.36,-15.81
Dabi,14.96,-12.56
Dabia,15.92,-13.5
Dabo,12.88,-14.48
Dackhar,15.95,-16.22
Dadi Daoudé,14.82,-14.53
Dadj,15.5,-16.22
Dadj,14.87,-15.8
Dado,16.6,-15
Daetangel,13.98,-13.35
Daf,15.02,-16.85
Dafar,13.8,-15.87
Dafinia,12.55,-15.42
Daga,15.55,-15.49
Daga,14.95,-16.98
Daga,14.83,-15.5
Daga,14.75,-16.33
Daga,14.73,-15.57
Daga,14.64,-17.13
Daga,13.78,-15.73
Daga,15.56,-15.48
Daga Ali Bouri,13.68,-15.8
Daga Bani,13.8,-16.03
Daga Daoud,14.15,-15.92
Daga Diala,14.08,-16.02
Daga Dieri Birane,15.4,-15.36
Daga Diouf,14.75,-16
Daga Gouye,14.05,-15.43
Daga Guirène,14.18,-15.97
Daga Ndoup,13.68,-16.35
Daga Sambou,13.92,-16.1
Daga Sangare,14.25,-16.12
Daga Sangaye,14.05,-16.17
Daga Youdoum,14.02,-15.92
Dagaballa,13.95,-15.62
Dagabiram,13.95,-15.58
Dagagne,14.43,-15.97
Dagana,16.48,-15.6
Daganabe,15.58,-15.13
Daganabe,14.77,-15.83
Dagasoukoum,14.03,-16.37
Dagathe,15.62,-16.25
Dagdam,14.58,-16.53
Dagne,15.19,-15.51
Dagoudane,14.76,-17.4
Daguel Marou,13.03,-14.07
Daharatou,14.6,-12.3
Dahiba,14.73,-17.18
Dahra,15.35,-15.48
Dahu,15.54,-14.74
Dai Salam Kamberto,12.8,-14.93
Dak,14.28,-16.63
Dakaba,14.09,-12.58
Dakabantang,12.62,-15.75
Dakadougal,13.89,-12.89
Dakala,14.67,-17.1
Dakan,14.57,-14.42
Dakar,14.74,-17.63
Dakar Dioi,14.93,-16.73
Dakar-Bango,16.06,-16.46
Dakar-Marine,14.68,-17.44
Dakatéli,12.46,-12.65
Dakha Diagne,15.7,-16.2
Dakhar Birima,15.38,-16.38
Dakhma,15.23,-16.53
Dala,15.58,-15.2
Dala,14.77,-16
Dalaba,13.33,-11.78
Dalaba,12.83,-14.08
Dalaba,12.75,-13.28
Dalafi,13.66,-12.4
Dalafing,12.86,-11.69
Dalaguer,15.22,-16.47
Dalakh,15.23,-16.15
Dalaoulé,13.92,-11.95
Dalaoulé,12.48,-12.02
Dalato,13.19,-11.71
Dalifor,14.74,-17.42
Dalou,15.23,-16.03
Dam,14.48,-16.47
Dam,14.78,-15.63
Dam,14.43,-15.85
Dam Dabaye,14.9,-16
Dam Diop,14.92,-15.95
Dam Toure,14.5,-15.75
Damadji,14.43,-14.8
Damadé,13.05,-13.78
Damantan,13,-13.4
Damaradji,14.73,-14.8
Damba,13.9,-13.87
Dambala,13.28,-11.74
Dambasacounda,13.22,-13.78
Dambol,14.27,-15.53
Dan Tiadi,14.58,-14.98
Danbangoye,14.78,-16.87
Danbe,16.54,-14.57
Danbol,15.78,-13.48
Dande,12.37,-12.48
Dande,12.36,-12.33
Dandialat,12.71,-16.35
Dandième,12.93,-15.94
Dandone,12.87,-15.85
Dandou,12.73,-14.8
Dane,13.8,-14.15
Dangalma,14.73,-16.57
Dangane,14.08,-16.7
Dangane,14.1,-15.8
Dangane Touti,13.7,-16.52
Dangol,14.67,-16.27
Dangou,14.72,-17.27
Dangourou,15.52,-16.3
Dangourou,14.48,-15.7
Daniete,12.86,-15.1
Dank,15.32,-16.22
Dank,14.83,-16.15
Dank,14.75,-15.68
Danko,15.62,-16.17
Danthiady,15.53,-13.4
Dantiadi,14.77,-14.37
Dantilia,12.88,-11.8
Dao,15.67,-16.55
Daog,15.47,-16.03
Daorala,13.08,-11.51
Daouadi,14.13,-13.97
Daouakh Sourang,15.08,-16.52
Daoude Sisse,14.75,-16.88
Dar Mousti,15.04,-16.05
Dar Ould Rhaïré,13.05,-16.57
Dar Salam,16.58,-15.15
Dar Salam,13.25,-13.2
Dar Salam,13.08,-16.53
Dar Salam,12.91,-15.59
Dar Salam,12.71,-15.2
Dar Salam,12.63,-12.79
Dar Salam,12.55,-11.67
Dar Salam,15.05,-12.73
Dar el Salam,13.72,-13.58
Dar el Salam,13.13,-13.52
Dara,15.41,-16.53
Dara,15.52,-16.31
Dara,14.81,-17.13
Dara,14.68,-16.42
Dara,14.57,-16.68
Dara,14.5,-15.72
Dara,13.6,-12.49
Dara Diébo,14.92,-16
Dara Halaibe,16.63,-14.41
Dara Idi,14.57,-15.67
Dara Keur Simodou Ba,14.83,-15.62
Dara Nimane,14.83,-15.68
Dara Sidi,14.53,-15.87
Dara Sine,14.88,-15.98
Dara Tiélé,14.52,-15.87
Dara Yeral,15.28,-16.2
Daradji,14.79,-17.17
Daraye Imbar,14.53,-15.8
Dargouyé,14.67,-15.62
Darni,15.37,-15.17
Daro,13.97,-15.15
Daro,13.75,-15.22
Daro Koudous,13.85,-15.75
Daro Marnane,13.83,-15.47
Daro Salam,13.78,-15.75
Darou,15.07,-16.32
Darou,15.42,-15.91
Darou,15.13,-16.83
Darou,15.01,-16.59
Darou,15.23,-16.2
Darou,15.15,-16.82
Darou,16.49,-15.83
Darou,15.86,-15.95
Darou,15.67,-16.47
Darou,15.3,-16.33
Darou,15.15,-16.32
Darou,15.05,-16.68
Darou,14.93,-16.05
Darou,14.92,-16.4
Darou,14.83,-17.05
Darou,14.77,-16.45
Darou,14.62,-16.47
Darou,14.62,-16.27
Darou,14.3,-16.02
Darou,14,-14.77
Darou,13.62,-15.48
Darou,13.28,-14.57
Darou,13.07,-14.18
Darou Alfa,14.95,-17
Darou Badem,14.75,-16.03
Darou Bak,14.27,-16.05
Darou Bamane,14.72,-15.87
Darou Bané,14.33,-15.25
Darou Bayakh Silla,14.84,-17.14
Darou Baïla,13.9,-15.8
Darou Bil,14.4,-16.02
Darou Dem Lene,14.17,-14.75
Darou Dia,15.28,-16.63
Darou Dia,15.07,-16.9
Darou Dia,14.8,-16.22
Darou Dieng,14.98,-16.3
Darou Dieng,14.23,-15.9
Darou Diop,15.48,-16.47
Darou Diop,15.04,-16.11
Darou Diop,14.97,-16.15
Darou Diop,14.83,-15.77
Darou Diop,14.7,-16.1
Darou Fal,15.57,-16.47
Darou Fal,15.55,-16.38
Darou Fal,15.25,-16.78
Darou Fal,15.22,-16.5
Darou Fal,15.07,-16.93
Darou Fal,14.73,-16.95
Darou Gaye,15.03,-16.57
Darou Guèye,15.2,-16.32
Darou Kadim,14.93,-15.87
Darou Karim,14.92,-15.92
Darou Khara,15.5,-16.37
Darou Khoudos,15.11,-16.84
Darou Koudous,13.98,-15.9
Darou Koutros,14.4,-14.58
Darou Kébé,15.42,-16.45
Darou M'Backe,14.65,-15.97
Darou Malam,14.92,-15.85
Darou Mane,15.1,-16.17
Darou Maram Dogadé,14.97,-15.85
Darou Marnane,14.83,-15.88
Darou Marnane,14.47,-15.88
Darou Marnane,13.97,-15.88
Darou Mayaye,14.45,-15.88
Darou Mbaké,14.75,-16.02
Darou Mbao,14.83,-16.47
Darou Mbaye,15.45,-16.03
Darou Mbaye,15.28,-16.13
Darou Mbaye,15.18,-16.67
Darou Mbaye,15.14,-15.98
Darou Mbeye,14.82,-16.33
Darou Mboumbaye,15.84,-16.52
Darou Meoundou,15.02,-16.33
Darou Mina,14.77,-15.7
Darou Moussa,14.17,-14.88
Darou Mousti,13.88,-15.8
Darou Naim,14.73,-16
Darou Naye,14.83,-16.05
Darou Ndassine,14.42,-14.88
Darou Ndayène,14.15,-14.43
Darou Ndiagne,15.23,-16.12
Darou Ndiar,14.85,-17.1
Darou Ndiaye,15.12,-15.83
Darou Ndiaye,15,-16.42
Darou Ndoye,15.22,-16.8
Darou Nem,14.4,-14.62
Darou Niaj,15.25,-16.1
Darou Pakatiar,13.93,-15.83
Darou Pal,14.52,-15.68
Darou Pam,15.22,-16.38
Darou Parba,15.5,-16.47
Darou Ragmane,14.82,-15.88
Darou Rahmane,14.95,-16.02
Darou Rahmane,14.9,-15.95
Darou Rahmane,14.75,-17.36
Darou Ramane,14.83,-16.93
Darou Rhamane,14.77,-16.77
Darou Rhamane,14.48,-14.43
Darou Sager,14.6,-15.77
Darou Salam,15.38,-13.14
Darou Salam,15.02,-15.9
Darou Salam,14.9,-16.27
Darou Salam,14.8,-15.9
Darou Salam,14.7,-15.7
Darou Salam,14.68,-15.9
Darou Salam,14.55,-16.17
Darou Salam,14.53,-15.85
Darou Salam,14.33,-14.62
Darou Salam,14.17,-15.75
Darou Salam,14.15,-14.97
Darou Salam,14.13,-15.02
Darou Salam,13.3,-13.48
Darou Salam,13.05,-14.63
Darou Salam,15.78,-16.25
Darou Salam,14.4,-12.21
Darou Sale,15.02,-16.02
Darou Sam,15.3,-16.38
Darou Sam,14.28,-16.07
Darou Sambo,14.7,-15.67
Darou Sek,15.08,-16.43
Darou Sek,14.83,-15.93
Darou Serigne Mansour Si,14.87,-17.14
Darou Sourane,14.52,-15.8
Darou Sow,15.22,-16.72
Darou Sèye,15.03,-16.55
Darou Sèye,14.98,-16.32
Darou Tbioum,14.88,-16.37
Darou Tiam,14.6,-15.63
Darou Tiar,15.57,-16.53
Darou Tieguene,14,-14.78
Darou Touré,15,-16.28
Darou-Salam,15.27,-14.04
Darsalam,13.4,-14.97
Darsalam,13.03,-12.56
Darsalam,12.5,-16.33
Darsalam Mama Toure,13.05,-14.35
Darsilam,12.51,-15.72
Darsilame,12.88,-15.73
Darsilame,12.65,-15.47
Das Ngrou,15.52,-15.11
Dassilamé,13.2,-15.78
Dassilamé Ba,13.67,-16.42
Datel,14.58,-16.47
Datiele,14.25,-15.73
Datiémi,12.6,-12.86
Dator,13.32,-15.68
Datorkouta,13.3,-15.73
Davadi,14.05,-14.32
Davedia,15.46,-15.74
Davene,14.32,-15.77
Dayam,13.63,-16.4
Dayamber,15.1,-16.78
Dayane Guelode,14.73,-14.78
Dayane Keur Diamba Sira,14.73,-14.75
Dayane Kodiolé,14.8,-14.75
Dayane Laoniand,14.77,-14.75
Dayar,14.28,-13.9
Daymane,16.14,-16.06
Dayène,15.76,-16.43
Deali,15.05,-15.72
Debolate,15.48,-15.95
Debou Fadela,14.33,-12.25
Dech-Ouot,15.34,-15.42
Deck Laissé,15.55,-15.12
Dedali,15.29,-15.99
Dedane Sekou Drane,13.45,-15.03
Dedji,14.64,-12.21
Degounaye,15.82,-16.52
Degue Reye,15.6,-15.46
Deguett,15.85,-16.46
Dek Do,15.6,-15.09
Dekellay,15.03,-16.18
Dekheule,15.39,-16.1
Dekmodi,15.18,-15.29
Dekou,15.08,-16.67
Delair,15.27,-16.05
Delbi,14.23,-15.32
Dem,14.85,-16.1
Demadiou,14.85,-15.57
Demba Anta,14.55,-16.87
Demba Ba,14.08,-13.53
Demba Boiro,12.75,-13.95
Demba Coly,13.76,-12.86
Demba Dia,14.88,-16.43
Demba Kounda Kakofa,12.92,-13.73
Demba Ling,15.15,-16.13
Demba Ngom Faye,14.4,-15.9
Demba Tilaj,15.69,-15.71
Demba Tilo,16.32,-14.07
Dembankane,15.09,-12.7
Dembari,13.67,-14.13
Dembo Drane,13.45,-14.97
Demboubé,13.52,-14.42
Demissira,13.92,-15.17
Demizine,16.2,-16.43
Demou,13.77,-13.98
Dendifa,13.21,-12.01
Dendori,15.35,-13.05
Dendoudi,15.4,-13.53
Denguraye,13.85,-15.87
Deni Baboukar Diop,14.74,-17.18
Deni Biram Ndao,14.85,-17.17
Deni Diarke,14.72,-17.18
Deni Guedj,14.84,-17.2
Deni Guedj,14.86,-17.19
Deni Guedj,14.87,-17.2
Deni Mboul,14.74,-17.19
Deni Niaye,14.84,-17.18
Denndoudi,15.78,-13.9
Dentali,15.98,-14.21
Depenndakounda,12.98,-13.38
Der,15.7,-16.22
Der Palene,15.7,-16.23
Derep,14.77,-16.58
Derhaye,14.47,-15.85
Deroudji,16.4,-15.71
Derr,15.27,-16.2
Dertadi,13.82,-15.8
Detali,15.25,-15.88
Detie Djone,14.95,-15.73
Deuk Bourey,15.81,-16.39
Deye Songo,14.75,-15.98
Deï Semmbou,15.43,-16.18
Dia,14.83,-15.8
Dia,14.23,-16.17
Dibane,14.42,-16.37
Dibia,12.7,-11.83
Dibiko,12.98,-12.5
Dibito,12.73,-14.5
Dicilane,13.91,-12.69
Dickul,14.27,-16.2
Dide,13.97,-12.34
Didioré,12.73,-14.35
Didor,14.52,-16.32
Dieba,12.84,-16.02
Dieba,12.82,-14.92
Diedegn,14.63,-16.58
Diediene,13.95,-16.15
Diedéli,13.1,-15.88
Diegou,13.26,-11.88
Diegoune,12.84,-16.37
Diegue,13.02,-16.2
Diela,15.24,-12.9
Diele,15.23,-15.64
Dielem,14.42,-16.3
Dielem,14.42,-16.32
Dieleuk Peul,14.97,-17.04
Dieline,14.62,-16.82
Dielinkine,13.07,-16.08
Dielinkine,13.05,-16.12
Dielmo,13.72,-16.42
Diem Mouil,15.48,-16.09
Diema Tiévi,13.75,-15.48
Diemballa,13.75,-15.42
Diembereng,12.47,-16.78
Diembo,14.8,-16.43
Dieme,15.02,-16.05
Diemi,12.95,-16
Dieminguike,12.95,-15.11
Diemou,15.23,-16.34
Diemèl Tiénel,16.56,-14.28
Diende,12.77,-15.56
Diender,14.88,-17.08
Diender,14.45,-16.12
Diene Lagane,14.52,-15.93
Diene Waye,15.01,-17.05
Dieng,15.65,-16.23
Diengi,12.75,-16.28
Diengue,15.02,-16.83
Dienme,14.42,-15.77
Diennbar,15.35,-16.02
Dienndé,13.57,-14.38
Dienné,15.27,-16.45
Dienné,15.28,-16.48
Dienoun Diala,13.22,-13.12
Dieri,14.07,-15.83
Dieri Kao,13.62,-15.58
Dietene,16.49,-15.87
Dietkougne,15.25,-16.77
Dieule Mbam,15.94,-16.5
Dieuleuk,15.95,-16.48
Dieupeul,14.72,-17.45
Dieyène,14.7,-16.65
Difourou,13.39,-12.93
Digne,15.07,-16.25
Diguel,15.18,-16.27
Diguel,14.92,-16.23
Diguet,12.68,-16.76
Diguimar,13.65,-15.58
Diguine,14.8,-15.73
Dika,15.57,-13.38
Dikes,12.8,-16.2
Dikounta,12.77,-16.1
Dilapao,12.62,-16.38
Dili Loum,14.42,-15.9
Dilie,14.03,-15.8
Dilékénoum,12.52,-16.42
Dimar,16.53,-15.12
Dimassane,12.58,-16.73
Dimba Siriel,12.68,-14.08
Dimbadidéré,12.7,-14.03
Dimbaya,13.17,-16.64
Dimbere,13.98,-15.75
Dimboli,12.46,-12
Dimborde,15.3,-15.35
Dimbou,14.85,-16.27
Dimbé Korki,14.07,-15.67
Dimessira,14.07,-16.6
Dimmaro,13.08,-14.4
Dindefello,12.38,-12.32
Dindi Anène,14.83,-16.8
Dindiari,12.45,-11.65
Dindjeli,15.41,-15.46
Dindoudi,14.65,-12.94
Dindoudi Doka,14.28,-12.61
Dindoudi Séydi,14.47,-13.05
Dindédié,14.38,-13.4
Dingala,12.48,-12.47
Dingler,14.73,-16.67
Dingler,14.52,-16.82
Dingléri,14.27,-15.98
Dinguiraye,14.97,-16.4
Dinguiraye,14.03,-16.13
Dinguiraye,13.3,-14.62
Dinguiraye,13.22,-15.02
Dinkokono,12.8,-11.47
Dinndi Abdou,14.88,-15.82
Dinndi Bala,14.83,-15.82
Dinndoudi,13.84,-12.42
Dinnguier,14.38,-15.72
Dinnguiraye,13.23,-14.98
Dinnguiraye,13.03,-14.57
Dinouar,13.88,-16.73
Dintiang,15.36,-12.95
Dioare,16.48,-16.06
Diob Ndiafène,14.37,-16.57
Dioba Niaya,15.85,-15.88
Dioben,15.57,-16.05
Diobi,12.88,-11.74
Diobili Foulbe,14.47,-12.21
Diobène,15.72,-16.39
Diobène,14.3,-15.18
Diobène,14.82,-15.85
Diobène,14.82,-15.63
Diobène,14.77,-16.72
Diobène,14.57,-16.1
Diobène,14.43,-15.7
Diobène,12.57,-15.64
Diobé,16.5,-14.51
Diocadou,13.13,-16.12
Diofandor,13.82,-16.62
Diofior,14.18,-16.67
Diogane,13.87,-16.65
Diogane Sosse,13.86,-16.65
Diogaye,13.8,-16.57
Diogneiri,12.9,-15.9
Diogo,15.3,-16.82
Diogo,14.12,-15.5
Diogoma,12.38,-12.38
Diogone Bambara,13.9,-16.38
Diogop,14.88,-14.52
Diogop,14.87,-15.7
Diogoula,14.19,-12.35
Diogoye,14.57,-16.95
Dioguel,16.1,-13.7
Dioguen,15.38,-16.13
Diogué,12.57,-16.75
Diohine,14.5,-16.52
Diok Sal,15.75,-16.26
Dioka Madina,12.77,-11.67
Diokara,15.52,-16.55
Diokdou,14.68,-12.53
Diokhe,14.74,-17.2
Diokhoul,15.47,-16.15
Diokoul,15.13,-16.23
Diokoul,15.55,-16.4
Diokoul,15.97,-15.96
Diokoul,14.72,-16.28
Diokoul,14.27,-16.17
Diokoul,15.18,-16.53
Diokoul,15.37,-16.52
Diokoul,15.78,-16.44
Diokoul,15.63,-16.45
Diokoul,15.42,-16.35
Diokoul,15.23,-16.42
Diokoul,15.12,-16.7
Diokoul,14.75,-16.67
Diokoul,14.73,-16.65
Diokoul,14.72,-17.29
Diokoul,14.72,-16.33
Diokoul,14.37,-16.43
Diokoul,13.95,-15.28
Diokoul,13.83,-15.65
Diokoul,13.82,-15.4
Diokoul Ndiaye,15.45,-16.57
Diol,14.68,-16.7
Diol,14.72,-16.3
Diola,12.51,-16.3
Diolakounda,13.27,-15.8
Dioldiolete,15.49,-15.62
Dioli,13.98,-15.33
Dioli Mbaba,13.88,-15.5
Diollol,15.83,-13.5
Diolofène,14.37,-15.87
Diolokoumbi,12.68,-14.6
Diolotène,14.42,-15.65
Diom Bassatakh,15.82,-16.12
Diomandou,16.51,-14.43
Diomb I,14.68,-16.3
Diomb II,14.67,-16.33
Diombal,15.07,-16.92
Diombasse,15.08,-16.68
Diombouri,13.98,-16.28
Diomegueul,14.33,-16.63
Diomgandou Déri,16.49,-14.4
Dioncade,14.62,-16.4
Dioncade,14.63,-16.37
Diondene,12.86,-16.13
Diondiguel,14.42,-16.03
Dionegolor,14.35,-16.48
Dionfana,12.9,-14.88
Diongo,14.85,-16.22
Diongol,13.05,-16.32
