name,lat,lon
Badindin,13.12,-15.38
Badinnding,12.63,-15.45
Badio,13.97,-16.08
Badion,13.08,-14.35
Badiongo,12.45,-15.95
Badionkoto,12.5,-16.38
Badionkoto,12.49,-16.25
Badiou Batan,12.75,-13.85
Badioula,12.83,-11.81
Badioure,12.88,-16.14
Badiéléli,12.94,-16.52
Badji,14.83,-15.57
Badji Boko Roko,14.87,-15.57
Badjicounda,13.25,-15.77
Badjikounda,12.68,-15.86
Badjimor,12.68,-15.57
Badobar,12.59,-15.51
Badogor Boki,15.77,-14.49
Badogor Doun,15.78,-14.52
Badon,12.92,-12.37
Badouga,12.82,-15.5
Badoumba Diae,13.2,-15.73
Badoumba Kereouane,13.22,-15.73
Badoumba Mamadou,13.18,-15.72
Badtionkoto Komboli,13.12,-16.28
Bae,14.02,-16.42
Bafabantan,12.98,-15.7
Bafai Labok,14.43,-16.42
Bafara Diala,14.02,-16.1
Bafata,12.46,-15.83
Bafaye,14.7,-16.58
Bafaye,14.18,-15.93
Bafel,14.18,-15.9
Bafikane,12.47,-16.4
Bafoundou,12.83,-12.34
Bag Dobe,15.96,-14.65
Bagadadji,13.23,-13.48
Bagadadji,13.65,-16.49
Bagadadji,13.42,-13
Bagadadji,12.8,-15.05
Bagadadji,12.64,-15.66
Bagaga,12.69,-16.3
Bagam,16.49,-15.78
Bagam,12.41,-16.32
Bagana,14.18,-16.75
Bagana,14.12,-15.63
Baganga,12.73,-15.98
Baganga,12.6,-16.05
Baganha,12.61,-16.06
Bagata,12.45,-11.5
Bagaya,12.73,-16.4
Bagayogo,13.9,-13.43
Bagni-Bagni,12.93,-11.65
Bagnonba,12.72,-12.36
Bagone,15.93,-13.72
Bahanga,12.88,-16.08
Bahare,12.78,-12.9
Bahare,12.77,-12.88
Bahiré Foula,12.57,-12.65
Bahis Sek,15.57,-16.35
Baieti,14.02,-15.65
Bailar,13.97,-16.03
Baili-Ouamédaka,13.36,-12.58
Bainouk,12.55,-16.3
Baipoum,13.16,-16.12
Bairat,15.75,-16.17
Baisso,12.73,-12.35
Baiti,15.38,-16.57
Baiti,15.22,-16.73
Baiti,15.72,-16.42
Baiti,14.58,-16.23
Baiti,13.83,-15.13
Baiti,13.58,-16.23
Baiti Bakar,14.97,-16.95
Baiti Dia,14.8,-16.02
Baiti Dia,14.63,-15.95
Baiti Dieye,15.88,-16.38
Baiti Gaye,15.12,-16.57
Baiti Gueye,15,-16.92
Baitilaye,12.71,-12.15
Baitilaye,12.71,-11.68
Bajiran,13.16,-16.61
Bak Dior,14.28,-16.05
Bakadaji,13.03,-15.6
Bakakak,14.6,-16.48
Bakalou,13.87,-16.58
Bakao,16.58,-15.1
Bakaouka,12.54,-12.8
Bakapoum,14.63,-16.55
Bakari Sal,15.5,-16.38
Bakayoko,13.22,-14.15
Bakbous,14.67,-16.4
Bakel,14.9,-12.46
Bakem,14.42,-16.62
Bakenie,14.79,-17.11
Bakesaloum,13.72,-15.83
Bakhane,14.57,-16.4
Bakhda,15.85,-16.15
Bakhere,15.47,-16.32
Bakhis,15.3,-16.35
Bakhès,15.28,-16.23
Baki,14.78,-15.98
Baki Baki,12.68,-13.1
Bakindik,13.6,-16.48
Bako,14,-15.27
Bakonou,12.45,-16.42
Bakor,12.97,-14.73
Bakoudiem,14.55,-16.28
Bakoum,12.72,-15.56
Bakoundi,12.57,-15.85
Bakouré,14.82,-15.78
Bakous,13.74,-16.61
Baké,15.16,-15.62
Bal,14.25,-14.52
Bal,15.05,-16.93
Bala,13.1,-16.17
Bala,13.63,-13.1
Bala,16.5,-14.94
Bala,14.03,-13.17
Bala Bassene,13.07,-16.2
Bala Diaye,14.95,-15.8
Bala Diobène,14.97,-15.8
Bala Guirene,13.07,-16.18
Bala Meretaol,14.1,-13.68
Bala Ndiaye,15.1,-15.93
Bala Palène,14.93,-15.83
Balabou,14.35,-16.82
Balakhat,14.53,-16.7
Balakonko,13.14,-11.7
Balakounda,12.73,-14.17
Balal,15.54,-15.29
Balal Penda,15.4,-15.82
Balala,12.95,-15.93
Balam Boulou,13.58,-13.15
Balandin,13.02,-16.3
Balandor,12.75,-16.05
Balandé,15.77,-15.92
Balankine,12.89,-15.99
Balankine,12.72,-16.05
Balboto,15.34,-16.35
Baldi Kadjole,14.54,-12.89
Balel,15.27,-12.9
Balel Cisse,15.44,-15.14
Balel Pathe,16.06,-13.41
Baleou,12.78,-16.34
Bali,13.98,-15.37
Bali Guéli,15.34,-15.44
Bali Roto,15.45,-15.38
Balian,12.94,-16.23
Balib,12.78,-16.22
Balig,14.9,-16.88
Baline,12.92,-16.46
Balingor,12.78,-16.36
Balingor,12.67,-16.25
Balingor,12.52,-15.93
Baliniam,12.9,-16.28
Balkam,14.55,-16.62
Balkamissa,13.17,-15.02
Balmadou,12.62,-15.86
Balo Counda,13.15,-13.9
Balo Counda,12.7,-14.7
Balocounda,12.93,-14.2
Balodji,14.97,-15.77
Balokounda,13.33,-13.78
Balol,14.72,-15.77
Balonguine,12.97,-16.42
Balori,12.62,-11.82
Balou,14.74,-12.24
Balta,15.67,-16.48
Balédji,13.55,-12.16
Balénian,13.03,-16.18
Bam,15.11,-15.85
Bam Bare,15,-15.97
Bam Djigane,14.38,-15.83
Bamadoukounda,13.78,-13.97
Bamaki,13.23,-13.25
Bamako,12.87,-14.08
Bamakounda,12.64,-15.59
Bamb,14.78,-16.28
Bamba,13.8,-14.62
Bamba,13.95,-15.98
Bamba,13.73,-15.73
Bamba Mamadou,13.87,-15.23
Bamba Moussa,13.83,-15.25
Bambadala,13.7,-16.3
Bambadala,13.72,-16.3
Bambadala,13.61,-12.85
Bambadala,13.33,-15.48
Bambadala,13.27,-13.42
Bambadinka,13.57,-13.42
Bambadji,12.82,-11.5
Bambako,13.62,-14
